epoch,edge_final_output_loss,edge_final_output_mean_io_u,edge_side_output_1_loss,edge_side_output_1_mean_io_u,edge_side_output_2_loss,edge_side_output_2_mean_io_u,edge_side_output_3_loss,edge_side_output_3_mean_io_u,edge_side_output_4_loss,edge_side_output_4_mean_io_u,line_final_output_loss,line_final_output_mean_io_u,line_side_output_1_loss,line_side_output_1_mean_io_u,line_side_output_2_loss,line_side_output_2_mean_io_u,line_side_output_3_loss,line_side_output_3_mean_io_u,line_side_output_4_loss,line_side_output_4_mean_io_u,loss,surface_final_output_loss,surface_final_output_mean_io_u,surface_side_output_1_loss,surface_side_output_1_mean_io_u,surface_side_output_2_loss,surface_side_output_2_mean_io_u,surface_side_output_3_loss,surface_side_output_3_mean_io_u,surface_side_output_4_loss,surface_side_output_4_mean_io_u,surface_side_output_5_loss,surface_side_output_5_mean_io_u,val_edge_final_output_loss,val_edge_final_output_mean_io_u,val_edge_side_output_1_loss,val_edge_side_output_1_mean_io_u,val_edge_side_output_2_loss,val_edge_side_output_2_mean_io_u,val_edge_side_output_3_loss,val_edge_side_output_3_mean_io_u,val_edge_side_output_4_loss,val_edge_side_output_4_mean_io_u,val_line_final_output_loss,val_line_final_output_mean_io_u,val_line_side_output_1_loss,val_line_side_output_1_mean_io_u,val_line_side_output_2_loss,val_line_side_output_2_mean_io_u,val_line_side_output_3_loss,val_line_side_output_3_mean_io_u,val_line_side_output_4_loss,val_line_side_output_4_mean_io_u,val_loss,val_surface_final_output_loss,val_surface_final_output_mean_io_u,val_surface_side_output_1_loss,val_surface_side_output_1_mean_io_u,val_surface_side_output_2_loss,val_surface_side_output_2_mean_io_u,val_surface_side_output_3_loss,val_surface_side_output_3_mean_io_u,val_surface_side_output_4_loss,val_surface_side_output_4_mean_io_u,val_surface_side_output_5_loss,val_surface_side_output_5_mean_io_u
0,0.04633358120918274,0.4939417243003845,0.02713518775999546,0.4939730167388916,0.016163110733032227,0.4939419627189636,0.01543059665709734,0.4939419627189636,0.016205284744501114,0.4939419627189636,0.02995479665696621,0.4966408610343933,0.017424413934350014,0.49635523557662964,0.00865553691983223,0.4966445863246918,0.007477423641830683,0.4966445863246918,0.009376884438097477,0.4966445863246918,1.107935905456543,0.26503586769104004,0.37187105417251587,0.3310953378677368,0.3718812167644501,0.20131359994411469,0.37187105417251587,0.15844662487506866,0.37187105417251587,0.1348462998867035,0.37187105417251587,0.11649300158023834,0.37187105417251587,0.02841261215507984,0.49670445919036865,0.014479259960353374,0.4967036545276642,0.008793902583420277,0.49670445919036865,0.008213636465370655,0.49670445919036865,0.008584855124354362,0.49670445919036865,0.017877425998449326,0.49826616048812866,0.008872251026332378,0.4982423484325409,0.004367717541754246,0.49826616048812866,0.0037811114452779293,0.49826616048812866,0.00481448695063591,0.49826616048812866,0.7058475017547607,0.20132054388523102,0.4369184970855713,0.1794435977935791,0.4369373917579651,0.11521051079034805,0.4369184970855713,0.09442440420389175,0.4369184970855713,0.07988668233156204,0.4369184970855713,0.0707084983587265,0.4369184970855713
1,0.04545842856168747,0.4939418435096741,0.02608029544353485,0.4939562976360321,0.01588805392384529,0.4939419627189636,0.015157348476350307,0.4939419627189636,0.015770621597766876,0.4939419627189636,0.029200220480561256,0.49664202332496643,0.017099503427743912,0.4965266287326813,0.008369836956262589,0.4966445863246918,0.007095517124980688,0.4966445863246918,0.009055688045918941,0.4966445863246918,1.0525338649749756,0.24242055416107178,0.37187105417251587,0.30664509534835815,0.37188851833343506,0.197200745344162,0.37187105417251587,0.15531682968139648,0.37187105417251587,0.1279418170452118,0.37187105417251587,0.10783571749925613,0.37187105417251587,0.02745247073471546,0.49670445919036865,0.013938143849372864,0.4967038333415985,0.008601626381278038,0.49670445919036865,0.008208720944821835,0.49670445919036865,0.008378398604691029,0.49670445919036865,0.017049454152584076,0.49826616048812866,0.008788486011326313,0.49825453758239746,0.004228661768138409,0.49826616048812866,0.003586361650377512,0.49826616048812866,0.004847274161875248,0.49826616048812866,0.6781044602394104,0.1902272254228592,0.4369184970855713,0.16750138998031616,0.43692466616630554,0.11376599222421646,0.4369184970855713,0.09264981001615524,0.4369184970855713,0.07614400237798691,0.4369184970855713,0.06778643280267715,0.4369184970855713
2,0.04491299018263817,0.4939418435096741,0.02501649595797062,0.4939449727535248,0.015663333237171173,0.4939419627189636,0.01502857357263565,0.4939419627189636,0.015547535382211208,0.4939419627189636,0.028687715530395508,0.49664318561553955,0.016946030780673027,0.49658194184303284,0.008036213926970959,0.4966445863246918,0.006877851206809282,0.4966445863246918,0.008724228478968143,0.4966445863246918,1.0173624753952026,0.22774472832679749,0.37187105417251587,0.2895332872867584,0.3718549311161041,0.1946541666984558,0.37187105417251587,0.15327893197536469,0.37187105417251587,0.12456846982240677,0.37187105417251587,0.10427437722682953,0.37187105417251587,0.028508970513939857,0.49670445919036865,0.01339964009821415,0.49670419096946716,0.008437409065663815,0.49670445919036865,0.008104397915303707,0.49670445919036865,0.008027157746255398,0.49670445919036865,0.017003731802105904,0.49826616048812866,0.008746256120502949,0.49825942516326904,0.004046463407576084,0.49826616048812866,0.0034626845736056566,0.49826616048812866,0.004518944304436445,0.49826616048812866,0.6515666842460632,0.16840974986553192,0.4369184970855713,0.1600009799003601,0.43692025542259216,0.11251790076494217,0.4369184970855713,0.09147362411022186,0.4369184970855713,0.07755773514509201,0.4369184970855713,0.07009415328502655,0.43692198395729065
3,0.04450076445937157,0.4939419627189636,0.02405613847076893,0.4939405918121338,0.01548985205590725,0.4939419627189636,0.014959344640374184,0.4939419627189636,0.015460686758160591,0.4939419627189636,0.02815835177898407,0.4966442286968231,0.01689719781279564,0.49659666419029236,0.007603608071804047,0.4966445863246918,0.006816104985773563,0.4966445863246918,0.008230427280068398,0.4966445863246918,0.9892489314079285,0.21603572368621826,0.37187105417251587,0.2766558825969696,0.37183836102485657,0.19229114055633545,0.37187105417251587,0.15165889263153076,0.37187105417251587,0.12134925276041031,0.37187105417251587,0.10240589082241058,0.37187251448631287,0.027533404529094696,0.49670445919036865,0.012929256074130535,0.4967043697834015,0.008339661173522472,0.49670445919036865,0.008172338828444481,0.49670445919036865,0.0081346919760108,0.49670445919036865,0.016681130975484848,0.49826616048812866,0.008720612153410912,0.4982621669769287,0.0037967495154589415,0.49826616048812866,0.0033325073309242725,0.49826616048812866,0.004235975444316864,0.49826616048812866,0.6308016777038574,0.15891093015670776,0.4369184970855713,0.15383495390415192,0.4369172751903534,0.1117050051689148,0.4369184970855713,0.09095572680234909,0.4369184970855713,0.07601263374090195,0.4369184970855713,0.06374114751815796,0.4369473457336426
4,0.044225532561540604,0.4939419627189636,0.023227358236908913,0.49394211173057556,0.01535793300718069,0.4939419627189636,0.014938240870833397,0.4939419627189636,0.015399998985230923,0.4939419627189636,0.027618370950222015,0.4966445863246918,0.016744503751397133,0.496609091758728,0.007221357896924019,0.4966445863246918,0.006832592189311981,0.4966445863246918,0.007722196169197559,0.4966445863246918,0.9587631225585938,0.20262131094932556,0.37187105417251587,0.266696572303772,0.37184539437294006,0.19041171669960022,0.37187105417251587,0.14949265122413635,0.37187105417251587,0.11686259508132935,0.37187105417251587,0.09771087765693665,0.3718908429145813,0.02684958279132843,0.49670445919036865,0.012400032952427864,0.49670445919036865,0.008408826775848866,0.49670445919036865,0.008144179359078407,0.49670445919036865,0.008213505148887634,0.49670445919036865,0.01622922532260418,0.49826616048812866,0.008662334643304348,0.498263955116272,0.003588327905163169,0.49826616048812866,0.003321882337331772,0.49826616048812866,0.003915899433195591,0.49826616048812866,0.6202298998832703,0.1531207263469696,0.4369184970855713,0.14896544814109802,0.43691879510879517,0.11101505160331726,0.4369184970855713,0.09168042987585068,0.4369184970855713,0.0735979676246643,0.4369184970855713,0.06704013794660568,0.4369209110736847
5,0.043919194489717484,0.4939419627189636,0.02252921648323536,0.4939412772655487,0.015248720534145832,0.4939419627189636,0.01487178634852171,0.4939419627189636,0.015350311063230038,0.4939419627189636,0.027096394449472427,0.4966445863246918,0.016468919813632965,0.49662134051322937,0.006962173152714968,0.4966445863246918,0.006803997326642275,0.4966445863246918,0.007308785803616047,0.4966445863246918,0.9368278980255127,0.19318261742591858,0.37187105417251587,0.25839072465896606,0.3718462288379669,0.18877778947353363,0.37187105417251587,0.14814524352550507,0.37187105417251587,0.11431775987148285,0.37187105417251587,0.09526217728853226,0.371929407119751,0.026607386767864227,0.49670445919036865,0.01209120824933052,0.49670445919036865,0.00828398484736681,0.49670445919036865,0.00811383593827486,0.49670445919036865,0.00834850687533617,0.49670445919036865,0.015836915001273155,0.49826616048812866,0.008407384157180786,0.4982650876045227,0.0035007114056497812,0.49826616048812866,0.003327292622998357,0.49826616048812866,0.0036600835155695677,0.49826616048812866,0.6150063276290894,0.15313532948493958,0.4369184970855713,0.14581839740276337,0.4369192123413086,0.10934895277023315,0.4369184970855713,0.08902409672737122,0.4369184970855713,0.07566871494054794,0.4369184970855713,0.06794065982103348,0.4370195269584656
6,0.04369864985346794,0.4939419627189636,0.02196415886282921,0.49394160509109497,0.015139169991016388,0.4939419627189636,0.01481196004897356,0.4939419627189636,0.015321454964578152,0.4939419627189636,0.02666352316737175,0.4966445863246918,0.016061071306467056,0.49662911891937256,0.006827073637396097,0.4966445863246918,0.006835512816905975,0.4966445863246918,0.0069757248274981976,0.4966445863246918,0.9217202663421631,0.18696889281272888,0.37187105417251587,0.2513667941093445,0.37185028195381165,0.18718142807483673,0.37187105417251587,0.14627723395824432,0.37187105417251587,0.11338581144809723,0.37187105417251587,0.09635506570339203,0.3720717132091522,0.02724231407046318,0.49670445919036865,0.011769081465899944,0.49670445919036865,0.008267316967248917,0.49670445919036865,0.008036476559937,0.49670445919036865,0.00803847424685955,0.49670445919036865,0.015563888475298882,0.49826616048812866,0.008346347138285637,0.4982655346393585,0.0033823566045612097,0.49826616048812866,0.003345613833516836,0.49826616048812866,0.003372225211933255,0.49826616048812866,0.6159107089042664,0.16627609729766846,0.4369184970855713,0.14314861595630646,0.4369191825389862,0.1084810122847557,0.4369184970855713,0.08819491416215897,0.4369184970855713,0.06632167100906372,0.4369184970855713,0.06501879543066025,0.43925297260284424
7,0.04345041513442993,0.4939419627189636,0.02147115394473076,0.4939417243003845,0.015044588595628738,0.4939419627189636,0.014762334525585175,0.4939419627189636,0.015286333858966827,0.4939419627189636,0.026338504627346992,0.4966445863246918,0.015801671892404556,0.4966336190700531,0.006689647678285837,0.4966445863246918,0.006714988499879837,0.4966445863246918,0.006711183115839958,0.4966445863246918,0.905758261680603,0.18055760860443115,0.37187105417251587,0.2460613250732422,0.3718549907207489,0.18578499555587769,0.37187105417251587,0.14510191977024078,0.37187105417251587,0.11156734079122543,0.37187105417251587,0.09374066442251205,0.3721492290496826,0.026081537827849388,0.49670445919036865,0.011556939221918583,0.49670445919036865,0.008223342709243298,0.49670445919036865,0.00809219665825367,0.49670445919036865,0.008224835619330406,0.49670445919036865,0.015041764825582504,0.49826616048812866,0.00821163784712553,0.4982658922672272,0.00332569214515388,0.49826616048812866,0.0035012629814445972,0.49826616048812866,0.0031992197036743164,0.49826616048812866,0.5781847238540649,0.13554096221923828,0.4369184970855713,0.13939334452152252,0.4369187653064728,0.10834630578756332,0.4369184970855713,0.08746958523988724,0.4369184970855713,0.06545380502939224,0.4369184970855713,0.062094546854496,0.4378984272480011
8,0.043254029005765915,0.4939419627189636,0.02105710841715336,0.4939417243003845,0.01497741974890232,0.4939419627189636,0.014689600095152855,0.4939419627189636,0.015241026878356934,0.4939419627189636,0.026029260829091072,0.4966445863246918,0.015552787110209465,0.4966379404067993,0.0065972693264484406,0.4966445863246918,0.0066884360276162624,0.4966445863246918,0.006501972675323486,0.4966445863246918,0.8883670568466187,0.17167924344539642,0.37187105417251587,0.24151714146137238,0.3718578815460205,0.18484513461589813,0.37187105417251587,0.14429442584514618,0.37187105417251587,0.10903847217559814,0.37187105417251587,0.09144478291273117,0.37264710664749146,0.026806477457284927,0.49670445919036865,0.011337635107338428,0.49670445919036865,0.008156954310834408,0.49670445919036865,0.00780453672632575,0.49670445919036865,0.008182823657989502,0.49670445919036865,0.01483515277504921,0.49826616048812866,0.008099487982690334,0.49826598167419434,0.0032883204985409975,0.49826616048812866,0.0034372408408671618,0.49826616048812866,0.0030363674741238356,0.49826616048812866,0.6009998321533203,0.15997737646102905,0.4369184970855713,0.13782645761966705,0.43691861629486084,0.10735467821359634,0.4369184970855713,0.08631415665149689,0.4369184970855713,0.06456080079078674,0.4369184970855713,0.06684448570013046,0.440135657787323
9,0.042998358607292175,0.4939419627189636,0.02070525288581848,0.4939418435096741,0.014881152659654617,0.4939419627189636,0.014563643373548985,0.4939419627189636,0.015214621089398861,0.4939419627189636,0.025760110467672348,0.4966445863246918,0.015370137058198452,0.49664098024368286,0.00649684201925993,0.4966445863246918,0.006544329691678286,0.4966445863246918,0.006282988935709,0.4966445863246918,0.8702622056007385,0.16515786945819855,0.37187105417251587,0.2370000183582306,0.3718603849411011,0.18320775032043457,0.37187105417251587,0.14154765009880066,0.37187105417251587,0.10600525885820389,0.37187105417251587,0.08887731283903122,0.3726889491081238,0.02638758160173893,0.49670445919036865,0.011163664981722832,0.49670445919036865,0.008112901821732521,0.49670445919036865,0.007908014580607414,0.49670445919036865,0.008059993386268616,0.49670445919036865,0.015174003317952156,0.49826616048812866,0.007877052761614323,0.49826616048812866,0.003273442154750228,0.49826616048812866,0.0030737435445189476,0.49826616048812866,0.003128605894744396,0.49826616048812866,0.5622554421424866,0.12282022833824158,0.4369184970855713,0.13603802025318146,0.436918705701828,0.1068091094493866,0.4369184970855713,0.08555098623037338,0.4369184970855713,0.06932465732097626,0.4369184970855713,0.06262095272541046,0.43806910514831543
10,0.0427769236266613,0.4939419627189636,0.020400632172822952,0.4939418435096741,0.014785152859985828,0.4939419627189636,0.014441857114434242,0.4939419627189636,0.015123419463634491,0.4939419627189636,0.02555171214044094,0.4966445863246918,0.015190958976745605,0.4966426491737366,0.006425328087061644,0.4966445863246918,0.0064165894873440266,0.4966445863246918,0.006119407247751951,0.4966445863246918,0.8547805547714233,0.15806233882904053,0.37187105417251587,0.2335710972547531,0.3718620240688324,0.1821296215057373,0.37187105417251587,0.14030231535434723,0.37187105417251587,0.10338804870843887,0.37187105417251587,0.08675946295261383,0.3731900155544281,0.02643728442490101,0.49670445919036865,0.011021875776350498,0.49670445919036865,0.007968242280185223,0.49670445919036865,0.00763179175555706,0.49670445919036865,0.008077059872448444,0.49670445919036865,0.014595959335565567,0.49826616048812866,0.007872076705098152,0.49826616048812866,0.0031874508131295443,0.49826616048812866,0.003135671839118004,0.49826616048812866,0.0028480456676334143,0.49826616048812866,0.5604060888290405,0.13125401735305786,0.4369184970855713,0.13423976302146912,0.4369186460971832,0.106381855905056,0.4369184970855713,0.08461402356624603,0.4369184970855713,0.062323760241270065,0.4369184970855713,0.059921640902757645,0.43938273191452026
11,0.04249715432524681,0.4939419627189636,0.020136967301368713,0.4939418435096741,0.014616483822464943,0.4939419627189636,0.014283734373748302,0.4939419627189636,0.015002289786934853,0.4939419627189636,0.025339677929878235,0.4966445863246918,0.0150270015001297,0.4966435730457306,0.006355890538543463,0.4966445863246918,0.0062946779653429985,0.4966445863246918,0.005997559055685997,0.4966445863246918,0.8431219458580017,0.15283234417438507,0.37187105417251587,0.23074133694171906,0.37186354398727417,0.18152958154678345,0.37187105417251587,0.13957610726356506,0.37187105417251587,0.10210307687520981,0.37187105417251587,0.0843517929315567,0.37349364161491394,0.02602981962263584,0.49670445919036865,0.010894406586885452,0.49670445919036865,0.007915436290204525,0.49670445919036865,0.007695713546127081,0.49670445919036865,0.007775227073580027,0.49670445919036865,0.014587674289941788,0.49826616048812866,0.007769490126520395,0.49826616048812866,0.003145052818581462,0.49826616048812866,0.002939987927675247,0.49826616048812866,0.0028734549414366484,0.49826616048812866,0.5410162210464478,0.11227915436029434,0.4369184970855713,0.132169708609581,0.43691858649253845,0.10617490112781525,0.4369184970855713,0.0834493339061737,0.4369184970855713,0.06398840993642807,0.4369184970855713,0.0637996718287468,0.4389970004558563
12,0.04215842857956886,0.4939419627189636,0.01994132809340954,0.4939418435096741,0.014439787715673447,0.4939419627189636,0.014100867323577404,0.4939419627189636,0.0149415023624897,0.4939419627189636,0.025122294202446938,0.4966445863246918,0.01487056352198124,0.4966440498828888,0.006283538416028023,0.4966445863246918,0.006141360383480787,0.4966445863246918,0.005822983104735613,0.4966445863246918,0.8387109637260437,0.15228648483753204,0.37187105417251587,0.2275211662054062,0.3718659579753876,0.18022237718105316,0.37187105417251587,0.13816790282726288,0.37187105417251587,0.10311824083328247,0.37187105417251587,0.08654218167066574,0.37381890416145325,0.026052920147776604,0.49670445919036865,0.010764156468212605,0.49670445919036865,0.007810903713107109,0.49670445919036865,0.007759614381939173,0.49670445919036865,0.007599201053380966,0.49670445919036865,0.014393657445907593,0.49826616048812866,0.007677599787712097,0.49826616048812866,0.0031311374623328447,0.49826616048812866,0.002890389645472169,0.49826616048812866,0.002790466882288456,0.49826616048812866,0.5366611480712891,0.11482261121273041,0.4369184970855713,0.13107408583164215,0.43691855669021606,0.10554449260234833,0.4369184970855713,0.08319519460201263,0.4369184970855713,0.059944137930870056,0.4369184970855713,0.06027373671531677,0.440125972032547
13,0.04183897748589516,0.4939419627189636,0.0196964330971241,0.4939418435096741,0.014244980178773403,0.4939419627189636,0.013912679627537727,0.4939419627189636,0.014841098338365555,0.4939419627189636,0.024884892627596855,0.4966445863246918,0.01468010526150465,0.4966435432434082,0.00620496878400445,0.4966445863246918,0.006018555723130703,0.4966445863246918,0.0056853829883039,0.4966445863246918,0.8183467984199524,0.14298777282238007,0.37187105417251587,0.22563208639621735,0.3718664348125458,0.17945650219917297,0.37187105417251587,0.13632036745548248,0.37187105417251587,0.09883459657430649,0.37187105417251587,0.08103510737419128,0.37467023730278015,0.025333963334560394,0.49670445919036865,0.010624857619404793,0.49670445919036865,0.007683257572352886,0.49670445919036865,0.0074729821644723415,0.49670445919036865,0.007757284212857485,0.49670445919036865,0.014323514886200428,0.49826616048812866,0.007576167583465576,0.49826616048812866,0.003082189941778779,0.49826616048812866,0.002795942360535264,0.49826616048812866,0.0027116613928228617,0.49826616048812866,0.540730893611908,0.10898583382368088,0.4369184970855713,0.1305316537618637,0.4369185268878937,0.10497113317251205,0.4369184970855713,0.08228603005409241,0.4369184970855713,0.06650520116090775,0.4369184970855713,0.07669582962989807,0.4395676851272583
14,0.04142877459526062,0.4939419627189636,0.019402656704187393,0.4939419627189636,0.01406037900596857,0.4939419627189636,0.013718490488827229,0.4939419627189636,0.014755216427147388,0.4939419627189636,0.024681368842720985,0.4966445863246918,0.014504860155284405,0.4966437816619873,0.006149918772280216,0.4966445863246918,0.005911580752581358,0.4966445863246918,0.005579295102506876,0.4966445863246918,0.8060352206230164,0.1378820240497589,0.37187105417251587,0.22323130071163177,0.37186726927757263,0.1782515048980713,0.37187105417251587,0.1351848989725113,0.37187105417251587,0.09689126908779144,0.37187105417251587,0.07944829016923904,0.37517252564430237,0.025960389524698257,0.49670445919036865,0.01042456179857254,0.49670445919036865,0.0076245591044425964,0.49670445919036865,0.0072590080089867115,0.49670445919036865,0.007573350332677364,0.49670445919036865,0.014254806563258171,0.49826616048812866,0.0075435577891767025,0.49826616048812866,0.0030243240762501955,0.49826616048812866,0.0026548884343355894,0.49826616048812866,0.00263153831474483,0.49826616048812866,0.5215736031532288,0.10399901866912842,0.4369184970855713,0.12903237342834473,0.4369184970855713,0.10472982376813889,0.4369184970855713,0.08116503804922104,0.4369184970855713,0.061272673308849335,0.4369184970855713,0.06117302551865578,0.43836918473243713
15,0.04099560156464577,0.4939419627189636,0.01901819556951523,0.4939419627189636,0.013882741332054138,0.4939419627189636,0.013505738228559494,0.4939419627189636,0.014716587029397488,0.4939419627189636,0.024479225277900696,0.4966445863246918,0.014413188211619854,0.49664387106895447,0.006060018669813871,0.4966445863246918,0.005717297084629536,0.4966445863246918,0.00541092362254858,0.4966445863246918,0.7986963391304016,0.13514123857021332,0.37187105417251587,0.22159600257873535,0.37186798453330994,0.1776905208826065,0.37187105417251587,0.13418300449848175,0.37187105417251587,0.09668932855129242,0.37187105417251587,0.07874667644500732,0.3760930895805359,0.02482566237449646,0.49670445919036865,0.010224021971225739,0.49670445919036865,0.007393788546323776,0.49670445919036865,0.007193127181380987,0.49670445919036865,0.007707964163273573,0.49670445919036865,0.013781079091131687,0.49826616048812866,0.007463372778147459,0.49826616048812866,0.003026795107871294,0.49826616048812866,0.002783786738291383,0.49826616048812866,0.002616387791931629,0.49826616048812866,0.5267630219459534,0.10653944313526154,0.4369184970855713,0.12907539308071136,0.4369184970855713,0.1044333428144455,0.4369184970855713,0.08066438883543015,0.4369184970855713,0.062301795929670334,0.4369184970855713,0.07028398662805557,0.44366002082824707
